Name,Designation,Company,Country,Best Available LinkedIn ID,Best Available LinkedIn URL,Verification Status,LinkedIn ID,LinkedIn URL,Match Status,Confidence,Match Evidence,Source URL
G Padmanabhan,Former Executive Director,Reserve Bank of India,India,gopalaraman-padmanabhan-62934311,https://www.linkedin.com/in/gopalaraman-padmanabhan-62934311/,Verified - provided by GFF,gopalaraman-padmanabhan-62934311,https://www.linkedin.com/in/gopalaraman-padmanabhan-62934311/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Gary Yang,APAC President,Adyen,Singapore,garyyang,https://www.linkedin.com/in/garyyang/,Verified - provided by GFF,garyyang,https://www.linkedin.com/in/garyyang/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Gopal Srinivasan,Chairman & Managing Director,TVS Capital Funds,India,gopal-srinivasan-4630808,https://www.linkedin.com/in/gopal-srinivasan-4630808/,Verified - provided by GFF,gopal-srinivasan-4630808,https://www.linkedin.com/in/gopal-srinivasan-4630808/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Harshil Mathur,CEO & Co-founder,Razorpay,India,harshilmathur,https://www.linkedin.com/in/harshilmathur/,Verified - high-confidence public match,harshilmathur,https://www.linkedin.com/in/harshilmathur/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/harshilmathur/; margin=0.20,https://globalfintechfest.com/speakers
Irene Venter,Deputy Director National Payment System,Bank of Namibia,Namibia,irene-venter-9b82902b,https://www.linkedin.com/in/irene-venter-9b82902b/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/irene-venter-9b82902b/; margin=1.00,https://globalfintechfest.com/speakers
Javier Salinas,President,Fintech Association of Peru,Peru,javier-salinas-915a0838,https://www.linkedin.com/in/javier-salinas-915a0838/,Verified - high-confidence public match,javier-salinas-915a0838,https://www.linkedin.com/in/javier-salinas-915a0838/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/javier-salinas-915a0838/; margin=1.00,https://globalfintechfest.com/speakers
Jo Yeoh,Payments development division head at MAS,Monetary Authority of Singapore,Singapore,yeohjoann,https://www.linkedin.com/in/yeohjoann/,Candidate - manual review required,,,ambiguous,0.7,similar_name; designation_match; candidate=https://www.linkedin.com/in/yeohjoann/; margin=0.20,https://globalfintechfest.com/speakers
Johannes Lamsfuß,Legal Officer,German Federal Ministry of Finance,Germany,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Kenneth Gay,Chief Fintech Officer,Monetary Authority of Singapore,Singapore,kenneth-gay-6a895593,https://www.linkedin.com/in/kenneth-gay-6a895593/,Verified - high-confidence public match,kenneth-gay-6a895593,https://www.linkedin.com/in/kenneth-gay-6a895593/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/kenneth-gay-6a895593/; margin=1.00,https://globalfintechfest.com/speakers
Lalitha Nataraj,Managing Director & CEO,BHIM,India,lalitha-nataraj-546b99a,https://www.linkedin.com/in/lalitha-nataraj-546b99a/,Verified - provided by GFF,lalitha-nataraj-546b99a,https://www.linkedin.com/in/lalitha-nataraj-546b99a/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Nigel Fulchan,Chairman,National Payment & Innovation Company of Trinidad & Tobago,Trinidad and Tobago,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Srinivasu MN,"Co-founder, Director",BillDesk,India,srinivasu,https://www.linkedin.com/in/srinivasu/,Verified - high-confidence public match,srinivasu,https://www.linkedin.com/in/srinivasu/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/srinivasu/; margin=1.00,https://globalfintechfest.com/speakers
K Balasubramanian,"India Country Officer (ICO), India Subcontinent Sub-Cluster, and Banking Head at Citi",Citibank,India,balasubramanian-k-b13a22,https://www.linkedin.com/in/balasubramanian-k-b13a22/,Verified - provided by GFF,balasubramanian-k-b13a22,https://www.linkedin.com/in/balasubramanian-k-b13a22/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Sameer Nigam,Founder & CEO,PhonePe,India,sanigam,https://www.linkedin.com/in/sanigam/,Verified - provided by GFF,sanigam,https://www.linkedin.com/in/sanigam/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Pablo Londono,MD - Payment Services MEA-TR,Amazon,United Arab Emirates,pablo-l-2487683,https://www.linkedin.com/in/pablo-l-2487683/,Verified - provided by GFF,pablo-l-2487683,https://www.linkedin.com/in/pablo-l-2487683/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Sachin Bansal,Co-Founder and Executive Chairman,Navi,India,sachinbansal,https://www.linkedin.com/in/sachinbansal/,Verified - provided by GFF,sachinbansal,https://www.linkedin.com/in/sachinbansal/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Kisukyabo Simwaka,Deputy Governor - Operations,Reserve Bank of Malawi,Malawi,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Sharath Bulusu,Director Product,Google Pay,India,sharathbulusu,https://www.linkedin.com/in/sharathbulusu/,Verified - high-confidence public match,sharathbulusu,https://www.linkedin.com/in/sharathbulusu/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/sharathbulusu/; margin=1.00,https://globalfintechfest.com/speakers
Ulrike Schmitz,"Head of Unit 'Digital Finance; Payment Systems, Artificial Intelligence and Cybersecurity in Financial Markets'",German Federal Ministry of Finance,Germany,dr-ulrike-schmitz-575665b2,https://www.linkedin.com/in/dr-ulrike-schmitz-575665b2/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/dr-ulrike-schmitz-575665b2/; margin=0.00,https://globalfintechfest.com/speakers
Paul van van Sint Fiet,"Managing Director, Head of Cross-Currency Solutions, APAC",JPMorgan,Singapore,paulvansintfiet,https://www.linkedin.com/in/paulvansintfiet/,Candidate - manual review required,,,ambiguous,0.7,similar_name; designation_match; candidate=https://www.linkedin.com/in/paulvansintfiet/; margin=1.00,https://globalfintechfest.com/speakers
Sohini Rajola,Executive Director - Growth,National Payments Corporation of India,India,sohinirajola,https://www.linkedin.com/in/sohinirajola/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/sohinirajola/; margin=1.00,https://globalfintechfest.com/speakers
Marco Massarenti,Adviser,European Central Bank,Germany,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Shereen Bhan,Managing Editor,CNBC TV18,India,shereenbhanofficial,https://www.linkedin.com/in/shereenbhanofficial/,Verified - high-confidence public match,shereenbhanofficial,https://www.linkedin.com/in/shereenbhanofficial/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/shereenbhanofficial/; margin=0.30,https://globalfintechfest.com/speakers
Karina Ley Chinguel Degregori,Partner,Vodanovic,Peru,,,No indexed candidate found,,,not_found,0.0,no eligible personal LinkedIn result,https://globalfintechfest.com/speakers
Sukhvinder Kaur,Deputy Managing Director,State Bank of India,India,sukhvinder-kaur68,https://www.linkedin.com/in/sukhvinder-kaur68/,Verified - high-confidence public match,sukhvinder-kaur68,https://www.linkedin.com/in/sukhvinder-kaur68/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/sukhvinder-kaur68/; margin=0.10,https://globalfintechfest.com/speakers
Lizzie Chapman,Co-founder,Baysys,India,lizzie-chapman-fintech,https://www.linkedin.com/in/lizzie-chapman-fintech/,Verified - high-confidence public match,lizzie-chapman-fintech,https://www.linkedin.com/in/lizzie-chapman-fintech/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/lizzie-chapman-fintech/; margin=0.20,https://globalfintechfest.com/speakers
Rahul Chari,Founder & CTO,PhonePe,India,rahulchari,https://www.linkedin.com/in/rahulchari/,Verified - high-confidence public match,rahulchari,https://www.linkedin.com/in/rahulchari/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/rahulchari/; margin=1.00,https://globalfintechfest.com/speakers
Rajesh Thapar,CISO,NSE India,India,rajesh-thapar-6110025,https://www.linkedin.com/in/rajesh-thapar-6110025/,Verified - high-confidence public match,rajesh-thapar-6110025,https://www.linkedin.com/in/rajesh-thapar-6110025/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/rajesh-thapar-6110025/; margin=1.00,https://globalfintechfest.com/speakers
Shergeran Roberto Naidoo,Head of Stakeholder Engagement,PayInc,South Africa,shergeran-roberto-naidoo,https://www.linkedin.com/in/shergeran-roberto-naidoo/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/shergeran-roberto-naidoo/; margin=1.00,https://globalfintechfest.com/speakers
TS Anil,CEO,Monzo Bank,United Kingdom,tsanil,https://www.linkedin.com/in/tsanil/,Verified - provided by GFF,tsanil,https://www.linkedin.com/in/tsanil/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Madhusudanan R,Co-Founder,M2P Fintech,India,madhusudanan-r-founder-of-m2p-talk-to-me-if-you-are-building-a-fintech,https://www.linkedin.com/in/madhusudanan-r-founder-of-m2p-talk-to-me-if-you-are-building-a-fintech/,Verified - provided by GFF,madhusudanan-r-founder-of-m2p-talk-to-me-if-you-are-building-a-fintech,https://www.linkedin.com/in/madhusudanan-r-founder-of-m2p-talk-to-me-if-you-are-building-a-fintech/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Rakesh Purohit,Global Product Head of Cross Currency Payments & Solutions,J.P. Morgan,United States of America,rakesh-purohit,https://www.linkedin.com/in/rakesh-purohit/,Verified - provided by GFF,rakesh-purohit,https://www.linkedin.com/in/rakesh-purohit/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Prashant Muddu,MD & CEO,Jocata,India,prashantmuddu,https://www.linkedin.com/in/prashantmuddu/,Verified - high-confidence public match,prashantmuddu,https://www.linkedin.com/in/prashantmuddu/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/prashantmuddu/; margin=1.00,https://globalfintechfest.com/speakers
Rakesh Kashyap,Deputy Managing Director,National Bank for Agriculture and Rural Development,India,kashyaprakesh,https://www.linkedin.com/in/kashyaprakesh/,Candidate - manual review required,,,ambiguous,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/kashyaprakesh/; margin=0.00,https://globalfintechfest.com/speakers
Vibhav Hathi,Co-founder & CBO,"OneCard, and Chairman, FCC",India,vibhav-hathi-9893141,https://www.linkedin.com/in/vibhav-hathi-9893141/,Verified - provided by GFF,vibhav-hathi-9893141,https://www.linkedin.com/in/vibhav-hathi-9893141/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Vishwas Patel,Joint Managing Director,"Infibeam Avenues & Chairman, PCI",India,vishwaspatel,https://www.linkedin.com/in/vishwaspatel/,Verified - provided by GFF,vishwaspatel,https://www.linkedin.com/in/vishwaspatel/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Mike Walters,Chief Executive Officer,Form3,United Kingdom,digital-mikewalters,https://www.linkedin.com/in/digital-mikewalters/,Candidate - manual review required,,,ambiguous,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/digital-mikewalters/; margin=0.00,https://globalfintechfest.com/speakers
Ritesh Shukla,Managing Director & CEO,NPCI International Payments (NIPL),India,ritesh-shukla-4a92185a,https://www.linkedin.com/in/ritesh-shukla-4a92185a/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/ritesh-shukla-4a92185a/; margin=0.00,https://globalfintechfest.com/speakers
Muzaffer Hamid,CEO,Mercury Payments,United Arab Emirates,muzaffer-hamid-8139536,https://www.linkedin.com/in/muzaffer-hamid-8139536/,Verified - provided by GFF,muzaffer-hamid-8139536,https://www.linkedin.com/in/muzaffer-hamid-8139536/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Ritu Singh,Deputy Editor,CNBC-TV18,India,ritu-singh-b013931b3,https://www.linkedin.com/in/ritu-singh-b013931b3/,Verified - high-confidence public match,ritu-singh-b013931b3,https://www.linkedin.com/in/ritu-singh-b013931b3/,matched,1.0,exact_name; company_match; designation_match; candidate=https://www.linkedin.com/in/ritu-singh-b013931b3/; margin=1.00,https://globalfintechfest.com/speakers
Roelant Prins,Chief Commercial Officer,Adyen,Netherlands,roelantprins,https://www.linkedin.com/in/roelantprins/,Candidate - manual review required,,,ambiguous,0.6,exact_name; candidate=https://www.linkedin.com/in/roelantprins/; margin=1.00,https://globalfintechfest.com/speakers
Roshan Regmi,Chief Information and Digitial Officer,NMB Bank Limited,Nepal,roshanregmi,https://www.linkedin.com/in/roshanregmi/,Verified - high-confidence public match,roshanregmi,https://www.linkedin.com/in/roshanregmi/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/roshanregmi/; margin=1.00,https://globalfintechfest.com/speakers
Neelesh Pradhan,CEO,Nepal Clearing House,Nepal,nilesshpradhan,https://www.linkedin.com/in/nilesshpradhan/,Verified - high-confidence public match,nilesshpradhan,https://www.linkedin.com/in/nilesshpradhan/,matched,0.8,exact_name; designation_match; candidate=https://www.linkedin.com/in/nilesshpradhan/; margin=0.20,https://globalfintechfest.com/speakers
Paul Stamas,"Managing Director, Global Head of Financial Services",General Atlantic,United States of America,paulstamas,https://www.linkedin.com/in/paulstamas/,Verified - high-confidence public match,paulstamas,https://www.linkedin.com/in/paulstamas/,matched,0.9,exact_name; company_match; candidate=https://www.linkedin.com/in/paulstamas/; margin=1.00,https://globalfintechfest.com/speakers
Ryan Rugg,Head of Blockchain Strategy and DLT Implementation,Citibank,United States of America,ryanrugg,https://www.linkedin.com/in/ryanrugg/,Verified - provided by GFF,ryanrugg,https://www.linkedin.com/in/ryanrugg/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
Scott Southall,Head of Domestic and Accounts Payables,Citibank,United States of America,scott-southall-6bab5a4,https://www.linkedin.com/in/scott-southall-6bab5a4/,Verified - provided by GFF,scott-southall-6bab5a4,https://www.linkedin.com/in/scott-southall-6bab5a4/,provided,1.0,allSpeakersData LinkedIn field,https://globalfintechfest.com/speakers
